original_path,file_name,new_path,status
test_environment\시에라_재무\임시_파일_964.pdf,임시_파일_964.pdf,,pending
test_environment\시에라_재무\정리필요_보고서_633.docx,정리필요_보고서_633.docx,,pending
test_environment\시에라_재무\정리필요_재무_808.xlsx,정리필요_재무_808.xlsx,,pending
test_environment\알파_프로젝트\Copy of 디자인_20240907_236.sketch,Copy of 디자인_20240907_236.sketch,,pending
test_environment\알파_프로젝트\Copy of 디자인_20241128_108.jpg,Copy of 디자인_20241128_108.jpg,,pending
test_environment\알파_프로젝트\Copy of 마케팅_20240408_456.pdf,Copy of 마케팅_20240408_456.pdf,,pending
test_environment\알파_프로젝트\Copy of 마케팅_20240604_783.pptx,Copy of 마케팅_20240604_783.pptx,,pending
test_environment\알파_프로젝트\Copy of 보고서_20240205_890.docx,Copy of 보고서_20240205_890.docx,,pending
test_environment\알파_프로젝트\Copy of 보고서_20240306_305.xlsx,Copy of 보고서_20240306_305.xlsx,,pending
test_environment\알파_프로젝트\Copy of 인사_20240808_273.pdf,Copy of 인사_20240808_273.pdf,,pending
test_environment\알파_프로젝트\Final_계약서_알파_프로젝트_138.pdf,Final_계약서_알파_프로젝트_138.pdf,,pending
test_environment\알파_프로젝트\Final_기획서_알파_프로젝트_116.docx,Final_기획서_알파_프로젝트_116.docx,,pending
test_environment\알파_프로젝트\백업_20240207_재무_302.xlsx,백업_20240207_재무_302.xlsx,,pending
test_environment\알파_프로젝트\백업_20240726_회의록_490.docx,백업_20240726_회의록_490.docx,,pending
test_environment\알파_프로젝트\백업_20240822_인사_255.pdf,백업_20240822_인사_255.pdf,,pending
test_environment\알파_프로젝트\백업_20241022_개발_850.zip,백업_20241022_개발_850.zip,,pending
test_environment\알파_프로젝트\보고서_알파_프로젝트_최종_796.pdf,보고서_알파_프로젝트_최종_796.pdf,,pending
test_environment\알파_프로젝트\알파 프로젝트 개발_140.java,알파 프로젝트 개발_140.java,,pending
test_environment\알파_프로젝트\알파 프로젝트 개발_323.java,알파 프로젝트 개발_323.java,,pending
test_environment\알파_프로젝트\알파 프로젝트 개발_476.zip,알파 프로젝트 개발_476.zip,,pending
test_environment\알파_프로젝트\알파 프로젝트 개발_726.sql,알파 프로젝트 개발_726.sql,,pending
