path,name,extension,content_hint
test_workspace/20240816_QT_개발일정_v2.0.xlsx,20240816_QT_개발일정_v2.0.xlsx,.xlsx,
test_workspace/20240816_QT_기획안_v1.3.docx,20240816_QT_기획안_v1.3.docx,.docx,
test_workspace/20240816_QT_요구사항정의서_v2.5.docx,20240816_QT_요구사항정의서_v2.5.docx,.docx,
test_workspace/20240816_TF_발표자료_v2.5.pptx,20240816_TF_발표자료_v2.5.pptx,.pptx,
test_workspace/20240816_TF_회의록_v1.5.txt,20240816_TF_회의록_v1.5.txt,.txt,이 문서는 '사내 업무 효율화 TF' 프로젝트의 '회의록'입니다.
test_workspace/20240817_MK_예산안_v2.0.xlsx,20240817_MK_예산안_v2.0.xlsx,.xlsx,
test_workspace/20240817_QT_개발일정_v3.2.xlsx,20240817_QT_개발일정_v3.2.xlsx,.xlsx,
test_workspace/20240817_QT_기획안.docx,20240817_QT_기획안.docx,.docx,
test_workspace/20240817_QT_기획안.pptx,20240817_QT_기획안.pptx,.pptx,
test_workspace/20240817_QT_디자인시안_v3.4.jpg,20240817_QT_디자인시안_v3.4.jpg,.jpg,
test_workspace/20240817_TF_개선안.docx,20240817_TF_개선안.docx,.docx,
test_workspace/20240817_TF_회의록.txt,20240817_TF_회의록.txt,.txt,이 문서는 '사내 업무 효율화 TF' 프로젝트의 '회의록'입니다.
test_workspace/20240817_TF_회의록_v1.5.txt,20240817_TF_회의록_v1.5.txt,.txt,이 문서는 '사내 업무 효율화 TF' 프로젝트의 '회의록'입니다.
test_workspace/20240818_QT_기획안_v1.0.docx,20240818_QT_기획안_v1.0.docx,.docx,
test_workspace/20240819_MK_광고시안_v2.4.jpg,20240819_MK_광고시안_v2.4.jpg,.jpg,
test_workspace/20240819_MK_예산안_v1.4.xlsx,20240819_MK_예산안_v1.4.xlsx,.xlsx,
test_workspace/20240819_TF_설문결과_v3.1.xlsx,20240819_TF_설문결과_v3.1.xlsx,.xlsx,
test_workspace/20240820_MK_광고시안_v3.0.jpg,20240820_MK_광고시안_v3.0.jpg,.jpg,
test_workspace/20240820_MK_캠페인제안서_v3.3.pdf,20240820_MK_캠페인제안서_v3.3.pdf,.pdf,
test_workspace/20240820_QT_기획안_v1.3.docx,20240820_QT_기획안_v1.3.docx,.docx,
test_workspace/20240820_TF_회의록_v3.2.txt,20240820_TF_회의록_v3.2.txt,.txt,이 문서는 '사내 업무 효율화 TF' 프로젝트의 '회의록'입니다.
test_workspace/20240821_QT_개발일정_v2.1.xlsx,20240821_QT_개발일정_v2.1.xlsx,.xlsx,
test_workspace/20240821_TF_설문결과_v2.1.xlsx,20240821_TF_설문결과_v2.1.xlsx,.xlsx,
test_workspace/20240822_MK_결과보고서_v3.5.xlsx,20240822_MK_결과보고서_v3.5.xlsx,.xlsx,
test_workspace/20240823_QT_기획안.pptx,20240823_QT_기획안.pptx,.pptx,
test_workspace/20240823_TF_개선안_v3.5.docx,20240823_TF_개선안_v3.5.docx,.docx,
test_workspace/20240823_TF_설문결과.xlsx,20240823_TF_설문결과.xlsx,.xlsx,
test_workspace/20240824_MK_예산안_v2.3.xlsx,20240824_MK_예산안_v2.3.xlsx,.xlsx,
test_workspace/20240824_QT_개발일정_v3.0.xlsx,20240824_QT_개발일정_v3.0.xlsx,.xlsx,
test_workspace/20240824_QT_디자인시안_v3.2.jpg,20240824_QT_디자인시안_v3.2.jpg,.jpg,
test_workspace/20240825_MK_결과보고서.xlsx,20240825_MK_결과보고서.xlsx,.xlsx,
test_workspace/20240825_QT_기획안_v1.5.docx,20240825_QT_기획안_v1.5.docx,.docx,
test_workspace/20240825_QT_요구사항정의서_v1.4.docx,20240825_QT_요구사항정의서_v1.4.docx,.docx,
test_workspace/20240825_TF_설문결과.xlsx,20240825_TF_설문결과.xlsx,.xlsx,
test_workspace/20240828_QT_기획안_v1.5.docx,20240828_QT_기획안_v1.5.docx,.docx,
test_workspace/20240828_TF_발표자료_v1.1.pptx,20240828_TF_발표자료_v1.1.pptx,.pptx,
test_workspace/20240828_TF_설문결과_v3.3.xlsx,20240828_TF_설문결과_v3.3.xlsx,.xlsx,
test_workspace/20240829_MK_광고시안.jpg,20240829_MK_광고시안.jpg,.jpg,
test_workspace/20240829_QT_기획안_v3.4.pptx,20240829_QT_기획안_v3.4.pptx,.pptx,
test_workspace/20240830_MK_결과보고서_v1.1.xlsx,20240830_MK_결과보고서_v1.1.xlsx,.xlsx,
test_workspace/20240830_TF_발표자료_v3.0.pptx,20240830_TF_발표자료_v3.0.pptx,.pptx,
test_workspace/20240831_MK_광고시안_v1.5.jpg,20240831_MK_광고시안_v1.5.jpg,.jpg,
test_workspace/20240831_QT_개발일정_v2.3.xlsx,20240831_QT_개발일정_v2.3.xlsx,.xlsx,
test_workspace/20240831_QT_기획안.pptx,20240831_QT_기획안.pptx,.pptx,
test_workspace/20240831_QT_요구사항정의서_v3.0.docx,20240831_QT_요구사항정의서_v3.0.docx,.docx,
test_workspace/20240831_TF_설문결과_v1.2.xlsx,20240831_TF_설문결과_v1.2.xlsx,.xlsx,
test_workspace/20240831_TF_설문결과_v2.5.xlsx,20240831_TF_설문결과_v2.5.xlsx,.xlsx,
test_workspace/20240901_MK_결과보고서_v2.2.xlsx,20240901_MK_결과보고서_v2.2.xlsx,.xlsx,
test_workspace/20240901_MK_캠페인제안서.pdf,20240901_MK_캠페인제안서.pdf,.pdf,
test_workspace/20240902_QT_개발일정_v3.5.xlsx,20240902_QT_개발일정_v3.5.xlsx,.xlsx,
test_workspace/20240902_QT_기획안_v3.5.pptx,20240902_QT_기획안_v3.5.pptx,.pptx,
test_workspace/20240904_MK_결과보고서.xlsx,20240904_MK_결과보고서.xlsx,.xlsx,
test_workspace/20240905_MK_예산안_v3.5.xlsx,20240905_MK_예산안_v3.5.xlsx,.xlsx,
test_workspace/20240906_MK_예산안.xlsx,20240906_MK_예산안.xlsx,.xlsx,
test_workspace/20240907_MK_결과보고서_v1.1.xlsx,20240907_MK_결과보고서_v1.1.xlsx,.xlsx,
test_workspace/20240907_TF_개선안_v1.4.docx,20240907_TF_개선안_v1.4.docx,.docx,
test_workspace/20240907_TF_발표자료_v1.5.pptx,20240907_TF_발표자료_v1.5.pptx,.pptx,
test_workspace/20240908_QT_기획안_v1.4.docx,20240908_QT_기획안_v1.4.docx,.docx,
test_workspace/20240908_QT_요구사항정의서_v2.0.docx,20240908_QT_요구사항정의서_v2.0.docx,.docx,
test_workspace/20240908_QT_요구사항정의서_v2.3.docx,20240908_QT_요구사항정의서_v2.3.docx,.docx,
test_workspace/20240908_TF_개선안_v1.2.docx,20240908_TF_개선안_v1.2.docx,.docx,
test_workspace/20240908_TF_개선안_v2.4.docx,20240908_TF_개선안_v2.4.docx,.docx,
test_workspace/20240909_QT_개발일정_v1.2.xlsx,20240909_QT_개발일정_v1.2.xlsx,.xlsx,
test_workspace/20240909_TF_설문결과_v2.5.xlsx,20240909_TF_설문결과_v2.5.xlsx,.xlsx,
test_workspace/20240910_QT_개발일정_v1.4.xlsx,20240910_QT_개발일정_v1.4.xlsx,.xlsx,
test_workspace/20240910_QT_개발일정_v3.3.xlsx,20240910_QT_개발일정_v3.3.xlsx,.xlsx,
test_workspace/20240910_QT_기획안_v2.5.pptx,20240910_QT_기획안_v2.5.pptx,.pptx,
